Medicare Advantage Monthly Capitation Rates for 2021 for All Plans except PACE Plans,,,,,,
"Note: 
1. ESRD rates are for dialysis only and are shown after the deduction of the user fee of $5.25.
2. All rates include MIPPA IME deduction.",,,,,,
Code,State,County Name,Parts A&B 5% Bonus 2021 Rate,Parts A&B 3.5% Bonus 2021 Rate,Parts A&B 0% Bonus 2021 Rate,Parts A&B ESRD 2021 Rate
04260,ARKANSAS,GRANT,"1,028.30","1,014.58",982.59,"7,068.47"
04270,ARKANSAS,GREENE,978.59,978.59,978.59,"7,068.47"
04280,ARKANSAS,HEMPSTEAD,"1,034.59","1,034.59","1,008.49","7,068.47"
04290,ARKANSAS,HOT SPRING,960.41,960.41,960.41,"7,068.47"
04300,ARKANSAS,HOWARD,"1,021.08","1,006.50",972.46,"7,068.47"
04310,ARKANSAS,INDEPENDENCE,972.99,963.94,931.34,"7,068.47"
04320,ARKANSAS,IZARD,979.98,979.98,979.98,"7,068.47"
04330,ARKANSAS,JACKSON,"1,015.51","1,001.00",967.15,"7,068.47"
04340,ARKANSAS,JEFFERSON,972.14,972.14,972.14,"7,068.47"
04350,ARKANSAS,JOHNSON,980.52,980.52,977.47,"7,068.47"
04360,ARKANSAS,LAFAYETTE,"1,006.29","1,006.29",974.76,"7,068.47"
04370,ARKANSAS,LAWRENCE,977.52,977.52,977.52,"7,068.47"
04380,ARKANSAS,LEE,972.51,972.51,955.91,"7,068.47"
04390,ARKANSAS,LINCOLN,975.03,975.03,975.03,"7,068.47"
04400,ARKANSAS,LITTLE RIVER,"1,019.48","1,004.19",968.51,"7,068.47"
04410,ARKANSAS,LOGAN,995.49,995.49,995.49,"7,068.47"
04420,ARKANSAS,LONOKE,"1,017.48","1,003.92",972.26,"7,068.47"
04430,ARKANSAS,MADISON,"1,038.90","1,025.91",995.61,"7,068.47"
04440,ARKANSAS,MARION,981.01,981.01,981.01,"7,068.47"
04450,ARKANSAS,MILLER,"1,044.34","1,029.93",996.32,"7,068.47"
04460,ARKANSAS,MISSISSIPPI,977.44,977.44,977.44,"7,068.47"
04470,ARKANSAS,MONROE,976.38,976.38,972.03,"7,068.47"
04480,ARKANSAS,MONTGOMERY,"1,014.90","1,002.21",972.61,"7,068.47"
04490,ARKANSAS,NEVADA,"1,058.16","1,044.05","1,011.13","7,068.47"
04500,ARKANSAS,NEWTON,920.30,908.80,881.96,"7,068.47"
04510,ARKANSAS,OUACHITA,980.38,980.38,980.38,"7,068.47"
04520,ARKANSAS,PERRY,"1,027.76","1,014.92",984.94,"7,068.47"
04530,ARKANSAS,PHILLIPS,975.86,975.86,968.42,"7,068.47"
04540,ARKANSAS,PIKE,982.44,982.44,982.44,"7,068.47"
04550,ARKANSAS,POINSETT,978.43,978.43,978.43,"7,068.47"
04560,ARKANSAS,POLK,981.41,981.41,981.41,"7,068.47"
04570,ARKANSAS,POPE,980.89,980.89,980.89,"7,068.47"
04580,ARKANSAS,PRAIRIE,977.64,977.64,958.41,"7,068.47"
04590,ARKANSAS,PULASKI,"1,020.99","1,007.81",977.08,"7,068.47"
04600,ARKANSAS,RANDOLPH,981.15,981.15,981.15,"7,068.47"
04610,ARKANSAS,ST. FRANCIS,970.98,970.98,960.23,"7,068.47"
04620,ARKANSAS,SALINE,"1,038.41","1,024.56",992.26,"7,068.47"
04630,ARKANSAS,SCOTT,981.80,981.80,976.04,"7,068.47"
04640,ARKANSAS,SEARCY,979.15,979.15,979.15,"7,068.47"
04650,ARKANSAS,SEBASTIAN,"1,053.37","1,040.20","1,009.48","7,068.47"
04660,ARKANSAS,SEVIER,"1,004.39",990.04,956.56,"7,068.47"
04670,ARKANSAS,SHARP,979.24,979.24,979.24,"7,068.47"
04680,ARKANSAS,STONE,983.85,970.28,938.62,"7,068.47"
04690,ARKANSAS,UNION,979.52,979.52,958.74,"7,068.47"
04700,ARKANSAS,VAN BUREN,979.02,979.02,979.02,"7,068.47"
04710,ARKANSAS,WASHINGTON,"1,047.12","1,034.03","1,003.49","7,068.47"
04720,ARKANSAS,WHITE,975.18,975.18,975.18,"7,068.47"
04730,ARKANSAS,WOODRUFF,"1,071.14","1,056.85","1,023.53","7,068.47"
04740,ARKANSAS,YELL,986.85,972.76,939.86,"7,068.47"
05000,CALIFORNIA,ALAMEDA,"1,039.40","1,023.81",987.43,"8,877.52"
05010,CALIFORNIA,ALPINE,"1,103.66","1,087.51","1,049.82","8,877.52"
05020,CALIFORNIA,AMADOR,"1,117.04","1,100.28","1,061.19","8,877.52"
05030,CALIFORNIA,BUTTE,995.88,995.88,994.53,"8,877.52"
