Medicare Advantage Monthly Capitation Rates for 2021 for All Plans except PACE Plans,,,,,,
"Note: 
1. ESRD rates are for dialysis only and are shown after the deduction of the user fee of $5.25.
2. All rates include MIPPA IME deduction.",,,,,,
Code,State,County Name,Parts A&B 5% Bonus 2021 Rate,Parts A&B 3.5% Bonus 2021 Rate,Parts A&B 0% Bonus 2021 Rate,Parts A&B ESRD 2021 Rate
28010,NEBRASKA,ANTELOPE,"1,310.79","1,291.13","1,245.25","7,564.24"
28020,NEBRASKA,ARTHUR,"1,031.92","1,016.44",980.32,"7,564.24"
28030,NEBRASKA,BANNER,"1,037.39","1,021.83",985.52,"7,564.24"
28040,NEBRASKA,BLAINE,"1,092.14","1,075.76","1,037.53","7,564.24"
28050,NEBRASKA,BOONE,"1,215.58","1,197.35","1,154.80","7,564.24"
28060,NEBRASKA,BOX BUTTE,"1,219.11","1,200.82","1,158.15","7,564.24"
28070,NEBRASKA,BOYD,"1,211.91","1,193.73","1,151.31","7,564.24"
28080,NEBRASKA,BROWN,"1,394.77","1,373.85","1,325.03","7,564.24"
28090,NEBRASKA,BUFFALO,980.20,980.20,973.36,"7,564.24"
28100,NEBRASKA,BURT,"1,176.61","1,158.96","1,117.78","7,564.24"
28110,NEBRASKA,BUTLER,"1,070.96","1,070.96","1,044.19","7,564.24"
28120,NEBRASKA,CASS,"1,003.58",990.20,958.98,"7,564.24"
28130,NEBRASKA,CEDAR,"1,048.45","1,033.11",997.31,"7,564.24"
28140,NEBRASKA,CHASE,"1,315.71","1,295.97","1,249.92","7,564.24"
28150,NEBRASKA,CHERRY,"1,043.51","1,027.86",991.33,"7,564.24"
28160,NEBRASKA,CHEYENNE,"1,186.71","1,168.91","1,127.37","7,564.24"
28170,NEBRASKA,CLAY,980.60,980.60,967.56,"7,564.24"
28180,NEBRASKA,COLFAX,"1,021.41","1,006.09",970.34,"7,564.24"
28190,NEBRASKA,CUMING,"1,162.47","1,145.03","1,104.35","7,564.24"
28200,NEBRASKA,CUSTER,"1,079.58","1,063.39","1,025.60","7,564.24"
28210,NEBRASKA,DAKOTA,971.33,959.19,930.86,"7,564.24"
28220,NEBRASKA,DAWES,"1,042.73","1,042.73","1,042.73","7,564.24"
28230,NEBRASKA,DAWSON,"1,096.97","1,080.52","1,042.12","7,564.24"
28240,NEBRASKA,DEUEL,"1,146.15","1,128.96","1,088.84","7,564.24"
28250,NEBRASKA,DIXON,977.00,977.00,977.00,"7,564.24"
28260,NEBRASKA,DODGE,976.10,976.10,960.84,"7,564.24"
28270,NEBRASKA,DOUGLAS,"1,003.06",989.69,958.48,"7,564.24"
28280,NEBRASKA,DUNDY,"1,439.73","1,418.13","1,367.74","7,564.24"
28290,NEBRASKA,FILLMORE,"1,125.29","1,108.41","1,069.03","7,564.24"
28300,NEBRASKA,FRANKLIN,"1,127.79","1,110.87","1,071.40","7,564.24"
28310,NEBRASKA,FRONTIER,"1,012.16",996.98,961.55,"7,564.24"
28320,NEBRASKA,FURNAS,"1,246.41","1,227.71","1,184.09","7,564.24"
28330,NEBRASKA,GAGE,"1,006.12","1,004.45",970.48,"7,564.24"
28340,NEBRASKA,GARDEN,"1,285.87","1,266.58","1,221.58","7,564.24"
28350,NEBRASKA,GARFIELD,"1,192.43","1,174.54","1,132.81","7,564.24"
28360,NEBRASKA,GOSPER,"1,117.75","1,100.98","1,061.86","7,564.24"
28370,NEBRASKA,GRANT,"1,124.38","1,107.51","1,068.16","7,564.24"
28380,NEBRASKA,GREELEY,"1,122.76","1,105.92","1,066.62","7,564.24"
28390,NEBRASKA,HALL,978.79,978.79,978.79,"7,564.24"
28400,NEBRASKA,HAMILTON,"1,024.21","1,020.62",986.11,"7,564.24"
28410,NEBRASKA,HARLAN,"1,336.18","1,316.14","1,269.37","7,564.24"
28420,NEBRASKA,HAYES,"1,043.09","1,043.09","1,017.01","7,564.24"
28430,NEBRASKA,HITCHCOCK,"1,123.19","1,106.34","1,067.03","7,564.24"
28440,NEBRASKA,HOLT,"1,334.41","1,314.39","1,267.69","7,564.24"
28450,NEBRASKA,HOOKER,"1,063.70","1,048.51","1,013.05","7,564.24"
28460,NEBRASKA,HOWARD,"1,027.73","1,012.31",976.34,"7,564.24"
28470,NEBRASKA,JEFFERSON,"1,010.80","1,010.80","1,010.80","7,564.24"
28480,NEBRASKA,JOHNSON,"1,239.39","1,220.80","1,177.42","7,564.24"
28490,NEBRASKA,KEARNEY,"1,110.41","1,093.75","1,054.89","7,564.24"
28500,NEBRASKA,KEITH,"1,007.94","1,007.94","1,001.26","7,564.24"
28510,NEBRASKA,KEYA PAHA,"1,063.45","1,047.50","1,010.28","7,564.24"
28520,NEBRASKA,KIMBALL,"1,227.92","1,209.50","1,166.52","7,564.24"
28530,NEBRASKA,KNOX,"1,018.45","1,018.45",988.49,"7,564.24"
28540,NEBRASKA,LANCASTER,"1,061.20","1,047.93","1,016.98","7,564.24"
28550,NEBRASKA,LINCOLN,977.98,977.98,968.89,"7,564.24"
28560,NEBRASKA,LOGAN,"1,079.91","1,063.71","1,025.91","7,564.24"
28570,NEBRASKA,LOUP,"1,157.51","1,140.15","1,099.63","7,564.24"
28580,NEBRASKA,MCPHERSON,"1,084.92","1,069.42","1,033.26","7,564.24"
28590,NEBRASKA,MADISON,"1,041.17","1,041.17","1,032.99","7,564.24"
28600,NEBRASKA,MERRICK,"1,017.45","1,017.45","1,009.96","7,564.24"
28610,NEBRASKA,MORRILL,"1,320.64","1,300.83","1,254.61","7,564.24"
28620,NEBRASKA,NANCE,"1,217.80","1,199.53","1,156.91","7,564.24"
28630,NEBRASKA,NEMAHA,"1,153.67","1,136.36","1,095.99","7,564.24"
28640,NEBRASKA,NUCKOLLS,"1,234.19","1,215.68","1,172.48","7,564.24"
28650,NEBRASKA,OTOE,"1,164.65","1,147.18","1,106.42","7,564.24"
28660,NEBRASKA,PAWNEE,"1,099.85","1,083.35","1,044.86","7,564.24"
28670,NEBRASKA,PERKINS,"1,129.24","1,112.30","1,072.78","7,564.24"
28680,NEBRASKA,PHELPS,"1,096.66","1,080.21","1,041.83","7,564.24"
28690,NEBRASKA,PIERCE,"1,287.70","1,268.38","1,223.32","7,564.24"
28700,NEBRASKA,PLATTE,975.49,975.49,975.49,"7,564.24"
28710,NEBRASKA,POLK,"1,144.78","1,127.61","1,087.54","7,564.24"
28720,NEBRASKA,RED WILLOW,"1,074.19","1,058.08","1,020.48","7,564.24"
28730,NEBRASKA,RICHARDSON,"1,200.51","1,182.50","1,140.48","7,564.24"
28740,NEBRASKA,ROCK,"1,240.03","1,221.43","1,178.03","7,564.24"
28750,NEBRASKA,SALINE,"1,080.17","1,063.97","1,026.16","7,564.24"
28760,NEBRASKA,SARPY,999.43,986.10,955.01,"7,564.24"
28770,NEBRASKA,SAUNDERS,"1,041.33","1,025.71",989.26,"7,564.24"
28780,NEBRASKA,SCOTTS BLUFF,980.28,980.28,956.42,"7,564.24"
28790,NEBRASKA,SEWARD,"1,057.97","1,042.10","1,005.07","7,564.24"
28800,NEBRASKA,SHERIDAN,"1,165.98","1,148.49","1,107.68","7,564.24"
28810,NEBRASKA,SHERMAN,"1,072.13","1,056.44","1,019.83","7,564.24"
28820,NEBRASKA,SIOUX,"1,065.82","1,049.83","1,012.53","7,564.24"
28830,NEBRASKA,STANTON,"1,013.21",998.01,962.55,"7,564.24"
28840,NEBRASKA,THAYER,"1,237.88","1,219.31","1,175.99","7,564.24"
28850,NEBRASKA,THOMAS,"1,016.75","1,001.87",967.15,"7,564.24"
28860,NEBRASKA,THURSTON,"1,082.45","1,066.21","1,028.33","7,564.24"
28870,NEBRASKA,VALLEY,"1,235.51","1,216.98","1,173.73","7,564.24"
28880,NEBRASKA,WASHINGTON,"1,014.40",999.18,963.68,"7,564.24"
28890,NEBRASKA,WAYNE,"1,042.86","1,027.22",990.72,"7,564.24"
28900,NEBRASKA,WEBSTER,"1,113.26","1,096.56","1,057.60","7,564.24"
28910,NEBRASKA,WHEELER,"1,125.74","1,108.85","1,069.45","7,564.24"
28920,NEBRASKA,YORK,"1,024.88","1,009.51",973.64,"7,564.24"
29000,NEVADA,CHURCHILL,992.20,978.02,944.95,"8,596.26"
29010,NEVADA,CLARK,"1,107.02","1,090.41","1,051.67","8,596.26"
29020,NEVADA,DOUGLAS,"1,021.54","1,021.54","1,015.50","8,596.26"
29030,NEVADA,ELKO,972.97,972.97,972.97,"8,596.26"
29040,NEVADA,ESMERALDA,"1,041.62","1,026.00",989.54,"8,596.26"
29050,NEVADA,EUREKA,"1,102.05","1,086.85","1,051.38","8,596.26"
29060,NEVADA,HUMBOLDT,"1,131.24","1,114.27","1,074.68","8,596.26"
29070,NEVADA,LANDER,"1,157.80","1,157.80","1,128.86","8,596.26"
29080,NEVADA,LINCOLN,"1,296.79","1,277.34","1,231.95","8,596.26"
29090,NEVADA,LYON,986.22,986.22,967.58,"8,596.26"
29100,NEVADA,MINERAL,"1,007.07",991.96,956.72,"8,596.26"
29110,NEVADA,NYE,"1,041.47","1,013.07",946.79,"8,596.26"
29120,NEVADA,CARSON CITY,992.64,992.64,981.41,"8,596.26"
29130,NEVADA,PERSHING,"1,107.90","1,091.28","1,052.51","8,596.26"
29140,NEVADA,STOREY,996.22,982.47,950.41,"8,596.26"
29150,NEVADA,WASHOE,"1,080.35","1,057.28",992.64,"8,596.26"
29160,NEVADA,WHITE PINE,"1,274.34","1,255.22","1,210.62","8,596.26"
30000,NEW HAMPSHIRE,BELKNAP,"1,038.34","1,038.34","1,008.23","8,012.60"
30010,NEW HAMPSHIRE,CARROLL,"1,027.24","1,011.83",975.88,"8,012.60"
30020,NEW HAMPSHIRE,CHESHIRE,987.11,987.11,975.18,"8,012.60"
30030,NEW HAMPSHIRE,COOS,"1,073.37","1,057.27","1,019.70","8,012.60"
30040,NEW HAMPSHIRE,GRAFTON,"1,012.38","1,012.38",978.76,"8,012.60"
30050,NEW HAMPSHIRE,HILLSBOROUGH,983.42,969.37,936.59,"8,012.60"
30060,NEW HAMPSHIRE,MERRIMACK,"1,008.33",993.92,960.31,"8,012.60"
30070,NEW HAMPSHIRE,ROCKINGHAM,"1,031.22","1,016.48",982.11,"8,012.60"
30080,NEW HAMPSHIRE,STRAFFORD,"1,019.44","1,005.38",972.57,"8,012.60"
30090,NEW HAMPSHIRE,SULLIVAN,"1,043.64","1,036.89","1,000.95","8,012.60"
31000,NEW JERSEY,ATLANTIC,"1,040.67","1,025.06",988.64,"9,072.58"
31100,NEW JERSEY,BERGEN,"1,079.04","1,062.85","1,025.09","9,072.58"
31150,NEW JERSEY,BURLINGTON,"1,036.40","1,021.23",985.84,"9,072.58"
31160,NEW JERSEY,CAMDEN,"1,034.47","1,019.33",984.01,"9,072.58"
31180,NEW JERSEY,CAPE MAY,"1,041.65","1,026.03",989.57,"9,072.58"
31190,NEW JERSEY,CUMBERLAND,"1,045.62","1,041.42","1,006.20","9,072.58"
31200,NEW JERSEY,ESSEX,"1,078.87","1,062.69","1,024.93","9,072.58"
31220,NEW JERSEY,GLOUCESTER,"1,026.13","1,010.74",974.82,"9,072.58"
31230,NEW JERSEY,HUDSON,"1,066.74","1,050.74","1,013.40","9,072.58"
31250,NEW JERSEY,HUNTERDON,"1,064.39","1,052.93","1,017.32","9,072.58"
31260,NEW JERSEY,MERCER,"1,027.79","1,012.75",977.65,"9,072.58"
31270,NEW JERSEY,MIDDLESEX,"1,035.28","1,019.75",983.52,"9,072.58"
31290,NEW JERSEY,MONMOUTH,"1,079.07","1,062.88","1,025.12","9,072.58"
31300,NEW JERSEY,MORRIS,"1,043.14","1,027.49",990.98,"9,072.58"
31310,NEW JERSEY,OCEAN,"1,083.84","1,067.58","1,029.65","9,072.58"
31320,NEW JERSEY,PASSAIC,"1,066.99","1,050.99","1,013.64","9,072.58"
31340,NEW JERSEY,SALEM,"1,033.51","1,018.01",981.83,"9,072.58"
31350,NEW JERSEY,SOMERSET,"1,043.24","1,028.33",993.56,"9,072.58"
31360,NEW JERSEY,SUSSEX,"1,034.77","1,019.25",983.03,"9,072.58"
31370,NEW JERSEY,UNION,"1,023.18","1,008.57",974.46,"9,072.58"
31390,NEW JERSEY,WARREN,"1,044.17","1,028.89",993.23,"9,072.58"
32000,NEW MEXICO,BERNALILLO,962.48,939.38,885.48,"6,705.00"
32010,NEW MEXICO,CATRON,970.69,970.69,954.21,"6,705.00"
32020,NEW MEXICO,CHAVES,977.28,977.28,977.28,"6,705.00"
32025,NEW MEXICO,CIBOLA,"1,006.08",993.50,964.16,"6,705.00"
32030,NEW MEXICO,COLFAX,974.56,974.56,949.37,"6,705.00"
32040,NEW MEXICO,CURRY,919.11,919.11,919.11,"6,705.00"
32050,NEW MEXICO,DEBACA,976.59,976.59,964.82,"6,705.00"
32060,NEW MEXICO,DONA ANA,977.76,977.76,977.76,"6,705.00"
32070,NEW MEXICO,EDDY,976.07,976.07,976.07,"6,705.00"
32080,NEW MEXICO,GRANT,976.30,964.87,936.38,"6,705.00"
32090,NEW MEXICO,GUADALUPE,984.17,981.67,952.67,"6,705.00"
32100,NEW MEXICO,HARDING,975.29,975.29,975.29,"6,705.00"
32110,NEW MEXICO,HIDALGO,972.63,972.63,972.63,"6,705.00"
32120,NEW MEXICO,LEA,"1,006.75","1,004.65",970.68,"6,705.00"
32130,NEW MEXICO,LINCOLN,975.22,975.22,975.22,"6,705.00"
32131,NEW MEXICO,LOS ALAMOS,976.08,976.08,976.08,"6,705.00"
32140,NEW MEXICO,LUNA,977.65,977.65,949.70,"6,705.00"
32150,NEW MEXICO,MCKINLEY,973.80,973.80,973.80,"6,705.00"
32160,NEW MEXICO,MORA,791.74,781.84,758.75,"6,705.00"
32170,NEW MEXICO,OTERO,979.78,979.78,979.78,"6,705.00"
32180,NEW MEXICO,QUAY,"1,006.68","1,006.68",987.23,"6,705.00"
32190,NEW MEXICO,RIO ARRIBA,931.18,919.54,892.38,"6,705.00"
32200,NEW MEXICO,ROOSEVELT,977.09,977.09,977.09,"6,705.00"
32210,NEW MEXICO,SANDOVAL,953.02,930.15,876.78,"6,705.00"
32220,NEW MEXICO,SAN JUAN,"1,012.61","1,012.61",999.62,"6,705.00"
32230,NEW MEXICO,SAN MIGUEL,883.00,871.96,846.20,"6,705.00"
32240,NEW MEXICO,SANTA FE,931.45,919.81,892.64,"6,705.00"
32250,NEW MEXICO,SIERRA,975.52,975.52,975.52,"6,705.00"
32260,NEW MEXICO,SOCORRO,878.96,867.98,842.34,"6,705.00"
32270,NEW MEXICO,TAOS,942.94,931.15,903.65,"6,705.00"
32280,NEW MEXICO,TORRANCE,878.25,857.17,807.99,"6,705.00"
32290,NEW MEXICO,UNION,"1,174.16","1,156.55","1,115.45","6,705.00"
32300,NEW MEXICO,VALENCIA,939.75,917.20,864.57,"6,705.00"
33000,NEW YORK,ALBANY,965.09,941.93,887.88,"8,599.30"
33010,NEW YORK,ALLEGANY,957.80,957.80,938.94,"8,599.30"
33020,NEW YORK,BRONX,"1,051.07","1,035.30",998.52,"8,599.30"
33030,NEW YORK,BROOME,959.46,947.47,919.48,"8,599.30"
33040,NEW YORK,CATTARAUGUS,964.52,953.59,925.43,"8,599.30"
33050,NEW YORK,CAYUGA,"1,029.89","1,016.16",984.12,"8,599.30"
33060,NEW YORK,CHAUTAUQUA,961.21,949.20,921.16,"8,599.30"
33070,NEW YORK,CHEMUNG,952.64,940.74,912.95,"8,599.30"
33080,NEW YORK,CHENANGO,964.71,964.71,936.26,"8,599.30"
33090,NEW YORK,CLINTON,972.51,972.51,972.51,"8,599.30"
33200,NEW YORK,COLUMBIA,962.99,962.99,962.99,"8,599.30"
33210,NEW YORK,CORTLAND,963.27,963.27,963.27,"8,599.30"
33220,NEW YORK,DELAWARE,961.54,961.54,961.54,"8,599.30"
33230,NEW YORK,DUTCHESS,"1,032.90","1,018.14",983.71,"8,599.30"
33240,NEW YORK,ERIE,973.49,950.12,895.61,"8,599.30"
33260,NEW YORK,ESSEX,968.30,968.30,968.30,"8,599.30"
33270,NEW YORK,FRANKLIN,969.31,966.32,937.78,"8,599.30"
33280,NEW YORK,FULTON,967.98,955.88,927.65,"8,599.30"
33290,NEW YORK,GENESEE,969.96,946.68,892.37,"8,599.30"
33300,NEW YORK,GREENE,960.42,960.42,960.42,"8,599.30"
33310,NEW YORK,HAMILTON,971.01,959.55,931.21,"8,599.30"
33320,NEW YORK,HERKIMER,"1,067.29","1,067.29","1,030.08","8,599.30"
33330,NEW YORK,JEFFERSON,968.33,968.33,968.33,"8,599.30"
33331,NEW YORK,KINGS,"1,043.85","1,028.93",994.14,"8,599.30"
33340,NEW YORK,LEWIS,967.81,967.81,967.81,"8,599.30"
33350,NEW YORK,LIVINGSTON,929.71,907.40,855.34,"8,599.30"
33360,NEW YORK,MADISON,"1,027.81","1,014.96",984.99,"8,599.30"
33370,NEW YORK,MONROE,924.77,902.58,850.79,"8,599.30"
33380,NEW YORK,MONTGOMERY,"1,029.94","1,005.22",947.54,"8,599.30"
33400,NEW YORK,NASSAU,"1,093.14","1,076.74","1,038.48","8,599.30"
33420,NEW YORK,NEW YORK,"1,068.70","1,053.43","1,017.81","8,599.30"
33500,NEW YORK,NIAGARA,"1,033.83","1,009.01",951.12,"8,599.30"
33510,NEW YORK,ONEIDA,978.23,966.00,937.47,"8,599.30"
33520,NEW YORK,ONONDAGA,"1,048.13","1,035.03","1,004.46","8,599.30"
33530,NEW YORK,ONTARIO,941.81,919.21,866.47,"8,599.30"
33540,NEW YORK,ORANGE,"1,046.28","1,030.97",995.24,"8,599.30"
33550,NEW YORK,ORLEANS,978.77,955.28,900.47,"8,599.30"
33560,NEW YORK,OSWEGO,"1,002.81",988.49,955.06,"8,599.30"
33570,NEW YORK,OTSEGO,950.57,950.57,950.57,"8,599.30"
33580,NEW YORK,PUTNAM,"1,067.70","1,051.68","1,014.32","8,599.30"
33590,NEW YORK,QUEENS,"1,044.91","1,029.98",995.15,"8,599.30"
33600,NEW YORK,RENSSELAER,982.81,959.22,904.19,"8,599.30"
33610,NEW YORK,RICHMOND,"1,023.18","1,007.83",972.02,"8,599.30"
33620,NEW YORK,ROCKLAND,"1,092.21","1,075.83","1,037.60","8,599.30"
33630,NEW YORK,ST. LAWRENCE,968.51,968.51,968.51,"8,599.30"
33640,NEW YORK,SARATOGA,"1,002.26",978.21,922.08,"8,599.30"
33650,NEW YORK,SCHENECTADY,953.11,930.24,876.86,"8,599.30"
33660,NEW YORK,SCHOHARIE,"1,058.79","1,048.38","1,017.42","8,599.30"
33670,NEW YORK,SCHUYLER,964.49,964.49,964.49,"8,599.30"
33680,NEW YORK,SENECA,963.49,963.49,958.30,"8,599.30"
33690,NEW YORK,STEUBEN,940.91,929.15,901.70,"8,599.30"
33700,NEW YORK,SUFFOLK,"1,144.33","1,127.17","1,087.11","8,599.30"
33710,NEW YORK,SULLIVAN,"1,000.10",985.82,952.48,"8,599.30"
33720,NEW YORK,TIOGA,959.02,947.03,919.06,"8,599.30"
33730,NEW YORK,TOMPKINS,897.42,886.20,860.03,"8,599.30"
33740,NEW YORK,ULSTER,965.76,965.76,965.76,"8,599.30"
33750,NEW YORK,WARREN,970.82,958.69,930.37,"8,599.30"
33760,NEW YORK,WASHINGTON,964.04,951.99,923.88,"8,599.30"
33770,NEW YORK,WAYNE,996.60,972.68,916.87,"8,599.30"
33800,NEW YORK,WESTCHESTER,"1,055.80","1,039.96","1,003.01","8,599.30"
33900,NEW YORK,WYOMING,951.60,951.60,951.60,"8,599.30"
33910,NEW YORK,YATES,878.63,867.65,842.02,"8,599.30"
34000,NORTH CAROLINA,ALAMANCE,"1,048.14","1,022.98",964.29,"7,169.35"
34010,NORTH CAROLINA,ALEXANDER,"1,038.65","1,025.66",995.37,"7,169.35"
34020,NORTH CAROLINA,ALLEGHANY,959.82,959.82,959.82,"7,169.35"
34030,NORTH CAROLINA,ANSON,"1,054.07","1,040.47","1,008.74","7,169.35"
34040,NORTH CAROLINA,ASHE,969.14,969.14,969.14,"7,169.35"
34050,NORTH CAROLINA,AVERY,970.51,970.51,949.73,"7,169.35"
34060,NORTH CAROLINA,BEAUFORT,961.56,961.56,955.90,"7,169.35"
34070,NORTH CAROLINA,BERTIE,924.33,924.33,924.33,"7,169.35"
34080,NORTH CAROLINA,BLADEN,974.66,973.49,940.57,"7,169.35"
34090,NORTH CAROLINA,BRUNSWICK,"1,047.54","1,033.58","1,000.99","7,169.35"
34100,NORTH CAROLINA,BUNCOMBE,992.50,980.09,951.14,"7,169.35"
34110,NORTH CAROLINA,BURKE,"1,003.24",990.70,961.43,"7,169.35"
34120,NORTH CAROLINA,CABARRUS,"1,038.75","1,024.42",990.99,"7,169.35"
34130,NORTH CAROLINA,CALDWELL,"1,049.28","1,036.16","1,005.56","7,169.35"
34140,NORTH CAROLINA,CAMDEN,970.75,970.75,970.75,"7,169.35"
34150,NORTH CAROLINA,CARTERET,973.48,973.48,973.48,"7,169.35"
34160,NORTH CAROLINA,CASWELL,953.95,953.95,953.95,"7,169.35"
34170,NORTH CAROLINA,CATAWBA,"1,024.13","1,011.33",981.46,"7,169.35"
34180,NORTH CAROLINA,CHATHAM,"1,029.82","1,004.34",944.89,"7,169.35"
34190,NORTH CAROLINA,CHEROKEE,907.96,896.61,870.12,"7,169.35"
34200,NORTH CAROLINA,CHOWAN,953.06,939.45,907.68,"7,169.35"
34210,NORTH CAROLINA,CLAY,901.57,890.30,864.01,"7,169.35"
34220,NORTH CAROLINA,CLEVELAND,976.17,976.17,976.17,"7,169.35"
34230,NORTH CAROLINA,COLUMBUS,965.74,965.74,965.74,"7,169.35"
34240,NORTH CAROLINA,CRAVEN,975.23,975.23,966.11,"7,169.35"
34250,NORTH CAROLINA,CUMBERLAND,"1,042.00","1,028.97",998.58,"7,169.35"
34251,NORTH CAROLINA,CURRITUCK,"1,039.73","1,025.86",993.52,"7,169.35"
34270,NORTH CAROLINA,DARE,966.88,966.88,966.88,"7,169.35"
34280,NORTH CAROLINA,DAVIDSON,"1,056.56","1,029.58",966.64,"7,169.35"
34290,NORTH CAROLINA,DAVIE,"1,051.99","1,025.13",962.46,"7,169.35"
34300,NORTH CAROLINA,DUPLIN,968.28,968.28,968.28,"7,169.35"
34310,NORTH CAROLINA,DURHAM,"1,002.86",989.49,958.29,"7,169.35"
34320,NORTH CAROLINA,EDGECOMBE,967.43,967.43,964.28,"7,169.35"
34330,NORTH CAROLINA,FORSYTH,"1,025.86",999.67,938.55,"7,169.35"
34340,NORTH CAROLINA,FRANKLIN,"1,035.55","1,021.74",989.53,"7,169.35"
34350,NORTH CAROLINA,GASTON,"1,033.61","1,019.36",986.09,"7,169.35"
34360,NORTH CAROLINA,GATES,968.27,968.27,968.27,"7,169.35"
34370,NORTH CAROLINA,GRAHAM,979.31,979.31,979.31,"7,169.35"
34380,NORTH CAROLINA,GRANVILLE,954.48,954.48,954.48,"7,169.35"
34390,NORTH CAROLINA,GREENE,965.20,965.20,965.20,"7,169.35"
34400,NORTH CAROLINA,GUILFORD,"1,057.46","1,032.08",972.87,"7,169.35"
34410,NORTH CAROLINA,HALIFAX,968.37,968.37,965.68,"7,169.35"
34420,NORTH CAROLINA,HARNETT,984.31,984.31,959.34,"7,169.35"
34430,NORTH CAROLINA,HAYWOOD,"1,083.32","1,083.32","1,025.92","7,169.35"
34440,NORTH CAROLINA,HENDERSON,"1,021.35","1,007.74",975.96,"7,169.35"
34450,NORTH CAROLINA,HERTFORD,967.98,967.98,956.94,"7,169.35"
34460,NORTH CAROLINA,HOKE,"1,051.62","1,026.39",967.50,"7,169.35"
34470,NORTH CAROLINA,HYDE,961.57,961.57,936.51,"7,169.35"
34480,NORTH CAROLINA,IREDELL,972.28,972.28,972.28,"7,169.35"
34490,NORTH CAROLINA,JACKSON,979.64,979.64,979.64,"7,169.35"
34500,NORTH CAROLINA,JOHNSTON,"1,031.49","1,017.74",985.65,"7,169.35"
34510,NORTH CAROLINA,JONES,974.68,974.68,949.88,"7,169.35"
34520,NORTH CAROLINA,LEE,964.81,964.81,964.81,"7,169.35"
34530,NORTH CAROLINA,LENOIR,968.76,968.76,964.96,"7,169.35"
34540,NORTH CAROLINA,LINCOLN,"1,047.12","1,033.15","1,000.58","7,169.35"
34550,NORTH CAROLINA,MCDOWELL,975.41,975.41,975.41,"7,169.35"
34560,NORTH CAROLINA,MACON,950.30,938.43,910.71,"7,169.35"
34570,NORTH CAROLINA,MADISON,"1,006.37",993.79,964.44,"7,169.35"
34580,NORTH CAROLINA,MARTIN,958.23,958.23,936.14,"7,169.35"
34590,NORTH CAROLINA,MECKLENBURG,"1,011.22",997.73,966.27,"7,169.35"
34600,NORTH CAROLINA,MITCHELL,895.33,884.14,858.03,"7,169.35"
34610,NORTH CAROLINA,MONTGOMERY,976.71,976.71,976.71,"7,169.35"
34620,NORTH CAROLINA,MOORE,976.90,976.90,963.69,"7,169.35"
34630,NORTH CAROLINA,NASH,971.54,971.54,961.57,"7,169.35"
34640,NORTH CAROLINA,NEW HANOVER,"1,048.59","1,034.61","1,001.99","7,169.35"
34650,NORTH CAROLINA,NORTHAMPTON,967.54,967.54,967.54,"7,169.35"
34660,NORTH CAROLINA,ONSLOW,971.99,971.99,969.10,"7,169.35"
34670,NORTH CAROLINA,ORANGE,960.88,948.87,920.84,"7,169.35"
34680,NORTH CAROLINA,PAMLICO,975.39,975.39,959.92,"7,169.35"
34690,NORTH CAROLINA,PASQUOTANK,973.87,973.87,973.87,"7,169.35"
34700,NORTH CAROLINA,PENDER,"1,047.00","1,033.04","1,000.47","7,169.35"
34710,NORTH CAROLINA,PERQUIMANS,966.85,966.85,946.74,"7,169.35"
34720,NORTH CAROLINA,PERSON,"1,049.87","1,023.28",960.72,"7,169.35"
34730,NORTH CAROLINA,PITT,892.26,892.26,892.26,"7,169.35"
34740,NORTH CAROLINA,POLK,977.46,977.46,977.46,"7,169.35"
34750,NORTH CAROLINA,RANDOLPH,"1,074.06","1,048.29",988.14,"7,169.35"
34760,NORTH CAROLINA,RICHMOND,977.87,977.87,966.03,"7,169.35"
34770,NORTH CAROLINA,ROBESON,931.14,931.14,931.14,"7,169.35"
34780,NORTH CAROLINA,ROCKINGHAM,"1,034.54","1,009.71",951.77,"7,169.35"
34790,NORTH CAROLINA,ROWAN,"1,038.80","1,024.95",992.63,"7,169.35"
34800,NORTH CAROLINA,RUTHERFORD,978.08,978.08,978.08,"7,169.35"
34810,NORTH CAROLINA,SAMPSON,971.61,971.61,971.61,"7,169.35"
34820,NORTH CAROLINA,SCOTLAND,939.58,927.83,900.43,"7,169.35"
34830,NORTH CAROLINA,STANLY,976.30,976.30,976.30,"7,169.35"
34840,NORTH CAROLINA,STOKES,"1,009.37",981.84,917.61,"7,169.35"
34850,NORTH CAROLINA,SURRY,963.49,963.49,963.49,"7,169.35"
34860,NORTH CAROLINA,SWAIN,978.95,978.95,978.95,"7,169.35"
34870,NORTH CAROLINA,TRANSYLVANIA,979.07,979.07,979.07,"7,169.35"
34880,NORTH CAROLINA,TYRRELL,924.92,924.92,924.92,"7,169.35"
34890,NORTH CAROLINA,UNION,"1,029.90","1,016.17",984.13,"7,169.35"
34900,NORTH CAROLINA,VANCE,962.21,962.21,962.21,"7,169.35"
34910,NORTH CAROLINA,WAKE,"1,040.74","1,027.73",997.37,"7,169.35"
34920,NORTH CAROLINA,WARREN,962.80,962.80,962.80,"7,169.35"
34930,NORTH CAROLINA,WASHINGTON,957.13,943.45,911.55,"7,169.35"
34940,NORTH CAROLINA,WATAUGA,969.71,969.71,969.71,"7,169.35"
34950,NORTH CAROLINA,WAYNE,974.91,974.91,959.79,"7,169.35"
34960,NORTH CAROLINA,WILKES,960.40,960.40,953.26,"7,169.35"
