Medicare Advantage Monthly Capitation Rates for 2021 for All PACE Plans,,,,
"Note: 
1. ESRD rates are for dialysis only and are shown after the deduction of the user fee of $5.25.",,,,
Code,State,County Name,Parts A&B 2021 Rate,Parts A&B ESRD 2021 Rate
17980,KANSAS,WABAUNSEE,985.93,"7,370.02"
17981,KANSAS,WALLACE,"1,286.18","7,370.02"
17982,KANSAS,WASHINGTON,"1,145.30","7,370.02"
17983,KANSAS,WICHITA,"1,516.59","7,370.02"
17984,KANSAS,WILSON,"1,123.30","7,370.02"
17985,KANSAS,WOODSON,"1,252.87","7,370.02"
17986,KANSAS,WYANDOTTE,"1,106.05","7,370.02"
18000,KENTUCKY,ADAIR,"1,126.40","7,515.61"
18010,KENTUCKY,ALLEN,"1,002.85","7,515.61"
18020,KENTUCKY,ANDERSON,985.93,"7,515.61"
18030,KENTUCKY,BALLARD,985.93,"7,515.61"
18040,KENTUCKY,BARREN,985.93,"7,515.61"
18050,KENTUCKY,BATH,985.93,"7,515.61"
18060,KENTUCKY,BELL,939.96,"7,515.61"
18070,KENTUCKY,BOONE,"1,089.65","7,515.61"
18080,KENTUCKY,BOURBON,"1,089.65","7,515.61"
18090,KENTUCKY,BOYD,"1,089.65","7,515.61"
18100,KENTUCKY,BOYLE,985.93,"7,515.61"
18110,KENTUCKY,BRACKEN,"1,089.65","7,515.61"
18120,KENTUCKY,BREATHITT,985.93,"7,515.61"
18130,KENTUCKY,BRECKINRIDGE,985.93,"7,515.61"
18140,KENTUCKY,BULLITT,"1,089.65","7,515.61"
18150,KENTUCKY,BUTLER,979.85,"7,515.61"
18160,KENTUCKY,CALDWELL,"1,018.50","7,515.61"
18170,KENTUCKY,CALLOWAY,985.93,"7,515.61"
18180,KENTUCKY,CAMPBELL,"1,089.65","7,515.61"
18190,KENTUCKY,CARLISLE,985.93,"7,515.61"
18191,KENTUCKY,CARROLL,"1,036.62","7,515.61"
18210,KENTUCKY,CARTER,"1,089.65","7,515.61"
18220,KENTUCKY,CASEY,"1,194.57","7,515.61"
18230,KENTUCKY,CHRISTIAN,985.93,"7,515.61"
18240,KENTUCKY,CLARK,"1,089.65","7,515.61"
18250,KENTUCKY,CLAY,992.53,"7,515.61"
18260,KENTUCKY,CLINTON,"1,169.03","7,515.61"
18270,KENTUCKY,CRITTENDEN,"1,289.75","7,515.61"
18271,KENTUCKY,CUMBERLAND,"1,179.54","7,515.61"
18290,KENTUCKY,DAVIESS,985.93,"7,515.61"
18291,KENTUCKY,EDMONSON,"1,018.24","7,515.61"
18310,KENTUCKY,ELLIOTT,985.93,"7,515.61"
18320,KENTUCKY,ESTILL,985.93,"7,515.61"
18330,KENTUCKY,FAYETTE,"1,089.65","7,515.61"
18340,KENTUCKY,FLEMING,985.93,"7,515.61"
18350,KENTUCKY,FLOYD,"1,039.51","7,515.61"
18360,KENTUCKY,FRANKLIN,"1,037.86","7,515.61"
18361,KENTUCKY,FULTON,997.09,"7,515.61"
18362,KENTUCKY,GALLATIN,"1,140.20","7,515.61"
18390,KENTUCKY,GARRARD,985.93,"7,515.61"
18400,KENTUCKY,GRANT,"1,089.65","7,515.61"
18410,KENTUCKY,GRAVES,985.93,"7,515.61"
18420,KENTUCKY,GRAYSON,985.93,"7,515.61"
18421,KENTUCKY,GREEN,"1,093.67","7,515.61"
18440,KENTUCKY,GREENUP,"1,089.65","7,515.61"
18450,KENTUCKY,HANCOCK,985.93,"7,515.61"
18460,KENTUCKY,HARDIN,985.93,"7,515.61"
18470,KENTUCKY,HARLAN,918.29,"7,515.61"
18480,KENTUCKY,HARRISON,985.93,"7,515.61"
18490,KENTUCKY,HART,982.91,"7,515.61"
18500,KENTUCKY,HENDERSON,"1,089.65","7,515.61"
18510,KENTUCKY,HENRY,"1,089.65","7,515.61"
18511,KENTUCKY,HICKMAN,934.01,"7,515.61"
18530,KENTUCKY,HOPKINS,985.93,"7,515.61"
18540,KENTUCKY,JACKSON,985.93,"7,515.61"
18550,KENTUCKY,JEFFERSON,"1,089.65","7,515.61"
18560,KENTUCKY,JESSAMINE,"1,089.65","7,515.61"
18570,KENTUCKY,JOHNSON,980.18,"7,515.61"
18580,KENTUCKY,KENTON,"1,089.65","7,515.61"
18590,KENTUCKY,KNOTT,"1,000.73","7,515.61"
18600,KENTUCKY,KNOX,985.93,"7,515.61"
18610,KENTUCKY,LARUE,985.93,"7,515.61"
18620,KENTUCKY,LAUREL,985.93,"7,515.61"
18630,KENTUCKY,LAWRENCE,985.93,"7,515.61"
18640,KENTUCKY,LEE,985.93,"7,515.61"
18650,KENTUCKY,LESLIE,963.46,"7,515.61"
18660,KENTUCKY,LETCHER,"1,016.04","7,515.61"
18670,KENTUCKY,LEWIS,985.93,"7,515.61"
18680,KENTUCKY,LINCOLN,985.93,"7,515.61"
18690,KENTUCKY,LIVINGSTON,"1,159.94","7,515.61"
18700,KENTUCKY,LOGAN,"1,025.85","7,515.61"
18710,KENTUCKY,LYON,"1,021.33","7,515.61"
18720,KENTUCKY,MCCRACKEN,"1,063.42","7,515.61"
18730,KENTUCKY,MCCREARY,985.93,"7,515.61"
18740,KENTUCKY,MCLEAN,985.93,"7,515.61"
18750,KENTUCKY,MADISON,"1,089.65","7,515.61"
18760,KENTUCKY,MAGOFFIN,"1,022.79","7,515.61"
18770,KENTUCKY,MARION,985.93,"7,515.61"
18780,KENTUCKY,MARSHALL,985.93,"7,515.61"
18790,KENTUCKY,MARTIN,981.68,"7,515.61"
18800,KENTUCKY,MASON,985.93,"7,515.61"
18801,KENTUCKY,MEADE,"1,088.00","7,515.61"
18802,KENTUCKY,MENIFEE,985.93,"7,515.61"
18830,KENTUCKY,MERCER,985.68,"7,515.61"
18831,KENTUCKY,METCALFE,985.93,"7,515.61"
18850,KENTUCKY,MONROE,"1,098.43","7,515.61"
18860,KENTUCKY,MONTGOMERY,985.93,"7,515.61"
18861,KENTUCKY,MORGAN,983.02,"7,515.61"
18880,KENTUCKY,MUHLENBERG,985.93,"7,515.61"
18890,KENTUCKY,NELSON,"1,089.65","7,515.61"
18900,KENTUCKY,NICHOLAS,"1,000.90","7,515.61"
18910,KENTUCKY,OHIO,985.93,"7,515.61"
18920,KENTUCKY,OLDHAM,"1,089.65","7,515.61"
18930,KENTUCKY,OWEN,"1,217.89","7,515.61"
18931,KENTUCKY,OWSLEY,990.10,"7,515.61"
18932,KENTUCKY,PENDLETON,"1,089.65","7,515.61"
18960,KENTUCKY,PERRY,973.49,"7,515.61"
18970,KENTUCKY,PIKE,"1,000.98","7,515.61"
18971,KENTUCKY,POWELL,985.93,"7,515.61"
18972,KENTUCKY,PULASKI,985.93,"7,515.61"
18973,KENTUCKY,ROBERTSON,985.93,"7,515.61"
18974,KENTUCKY,ROCKCASTLE,985.93,"7,515.61"
18975,KENTUCKY,ROWAN,985.93,"7,515.61"
18976,KENTUCKY,RUSSELL,977.83,"7,515.61"
18977,KENTUCKY,SCOTT,"1,089.65","7,515.61"
18978,KENTUCKY,SHELBY,"1,089.65","7,515.61"
18979,KENTUCKY,SIMPSON,"1,026.09","7,515.61"
18980,KENTUCKY,SPENCER,"1,089.65","7,515.61"
18981,KENTUCKY,TAYLOR,985.93,"7,515.61"
18982,KENTUCKY,TODD,985.93,"7,515.61"
18983,KENTUCKY,TRIGG,997.61,"7,515.61"
18984,KENTUCKY,TRIMBLE,"1,089.65","7,515.61"
18985,KENTUCKY,UNION,"1,047.42","7,515.61"
18986,KENTUCKY,WARREN,964.80,"7,515.61"
18987,KENTUCKY,WASHINGTON,985.93,"7,515.61"
18988,KENTUCKY,WAYNE,985.93,"7,515.61"
18989,KENTUCKY,WEBSTER,"1,089.65","7,515.61"
18990,KENTUCKY,WHITLEY,992.50,"7,515.61"
18991,KENTUCKY,WOLFE,896.20,"7,515.61"
18992,KENTUCKY,WOODFORD,"1,089.65","7,515.61"
19000,LOUISIANA,ACADIA,"1,087.57","7,348.35"
19010,LOUISIANA,ALLEN,"1,379.03","7,348.35"
19020,LOUISIANA,ASCENSION,"1,789.33","7,348.35"
19030,LOUISIANA,ASSUMPTION,"1,336.73","7,348.35"
19040,LOUISIANA,AVOYELLES,"1,381.22","7,348.35"
19050,LOUISIANA,BEAUREGARD,"1,087.09","7,348.35"
19060,LOUISIANA,BIENVILLE,"1,306.29","7,348.35"
19070,LOUISIANA,BOSSIER,"1,277.36","7,348.35"
19080,LOUISIANA,CADDO,"1,157.65","7,348.35"
19090,LOUISIANA,CALCASIEU,"1,220.62","7,348.35"
19100,LOUISIANA,CALDWELL,"1,617.55","7,348.35"
19110,LOUISIANA,CAMERON,"1,312.15","7,348.35"
19120,LOUISIANA,CATAHOULA,"1,291.14","7,348.35"
19130,LOUISIANA,CLAIBORNE,"1,291.68","7,348.35"
19140,LOUISIANA,CONCORDIA,"1,244.73","7,348.35"
19150,LOUISIANA,DE SOTO,"1,347.52","7,348.35"
19160,LOUISIANA,EAST BATON ROUGE,"1,316.31","7,348.35"
19170,LOUISIANA,EAST CARROLL,"1,486.61","7,348.35"
19180,LOUISIANA,EAST FELICIANA,"1,484.24","7,348.35"
19190,LOUISIANA,EVANGELINE,"1,276.96","7,348.35"
19200,LOUISIANA,FRANKLIN,"1,310.43","7,348.35"
19210,LOUISIANA,GRANT,"1,320.64","7,348.35"
19220,LOUISIANA,IBERIA,"1,092.96","7,348.35"
19230,LOUISIANA,IBERVILLE,"1,582.66","7,348.35"
19240,LOUISIANA,JACKSON,"1,273.97","7,348.35"
19250,LOUISIANA,JEFFERSON,"1,271.50","7,348.35"
19260,LOUISIANA,JEFFERSON DAVIS,"1,181.51","7,348.35"
19270,LOUISIANA,LAFAYETTE,"1,205.66","7,348.35"
19280,LOUISIANA,LAFOURCHE,"1,132.90","7,348.35"
19290,LOUISIANA,LA SALLE (LASALLE),"1,451.40","7,348.35"
19300,LOUISIANA,LINCOLN,"1,227.85","7,348.35"
19310,LOUISIANA,LIVINGSTON,"1,331.11","7,348.35"
19320,LOUISIANA,MADISON,"1,678.51","7,348.35"
19330,LOUISIANA,MOREHOUSE,"1,447.96","7,348.35"
19340,LOUISIANA,NATCHITOCHES,"1,258.72","7,348.35"
19350,LOUISIANA,ORLEANS,"1,514.87","7,348.35"
19360,LOUISIANA,OUACHITA,"1,339.24","7,348.35"
19370,LOUISIANA,PLAQUEMINES,"1,425.36","7,348.35"
19380,LOUISIANA,POINTE COUPEE,"1,367.89","7,348.35"
19390,LOUISIANA,RAPIDES,"1,267.51","7,348.35"
19400,LOUISIANA,RED RIVER,"1,352.66","7,348.35"
19410,LOUISIANA,RICHLAND,"1,447.58","7,348.35"
19420,LOUISIANA,SABINE,"1,186.17","7,348.35"
19430,LOUISIANA,ST. BERNARD,"1,823.45","7,348.35"
19440,LOUISIANA,ST. CHARLES,"1,299.22","7,348.35"
19450,LOUISIANA,ST. HELENA,"1,259.67","7,348.35"
19460,LOUISIANA,ST. JAMES,"1,665.35","7,348.35"
19470,LOUISIANA,ST. JOHN THE BAPTIST,"1,662.03","7,348.35"
19480,LOUISIANA,ST. LANDRY,"1,238.88","7,348.35"
19490,LOUISIANA,ST. MARTIN,"1,165.01","7,348.35"
19500,LOUISIANA,ST. MARY,"1,339.06","7,348.35"
19510,LOUISIANA,ST. TAMMANY,"1,308.27","7,348.35"
19520,LOUISIANA,TANGIPAHOA,"1,311.55","7,348.35"
19530,LOUISIANA,TENSAS,"1,450.41","7,348.35"
19540,LOUISIANA,TERREBONNE,"1,066.23","7,348.35"
19550,LOUISIANA,UNION,"1,496.71","7,348.35"
19560,LOUISIANA,VERMILION,"1,161.72","7,348.35"
19570,LOUISIANA,VERNON,"1,297.86","7,348.35"
19580,LOUISIANA,WASHINGTON,"1,528.89","7,348.35"
19590,LOUISIANA,WEBSTER,"1,379.75","7,348.35"
19600,LOUISIANA,WEST BATON ROUGE,"1,451.18","7,348.35"
19610,LOUISIANA,WEST CARROLL,"1,419.42","7,348.35"
19620,LOUISIANA,WEST FELICIANA,"1,323.48","7,348.35"
19630,LOUISIANA,WINN,"1,560.00","7,348.35"
20000,MAINE,ANDROSCOGGIN,985.93,"7,412.20"
20010,MAINE,AROOSTOOK,985.93,"7,412.20"
20020,MAINE,CUMBERLAND,"1,089.65","7,412.20"
20030,MAINE,FRANKLIN,985.93,"7,412.20"
20040,MAINE,HANCOCK,"1,050.27","7,412.20"
20050,MAINE,KENNEBEC,985.93,"7,412.20"
20060,MAINE,KNOX,985.93,"7,412.20"
20070,MAINE,LINCOLN,"1,040.84","7,412.20"
20080,MAINE,OXFORD,985.93,"7,412.20"
20090,MAINE,PENOBSCOT,985.93,"7,412.20"
20100,MAINE,PISCATAQUIS,"1,049.37","7,412.20"
20110,MAINE,SAGADAHOC,"1,089.65","7,412.20"
20120,MAINE,SOMERSET,"1,013.25","7,412.20"
20130,MAINE,WALDO,"1,000.85","7,412.20"
20140,MAINE,WASHINGTON,985.93,"7,412.20"
20150,MAINE,YORK,"1,089.65","7,412.20"
21000,MARYLAND,ALLEGANY,"1,204.89","8,816.95"
21010,MARYLAND,ANNE ARUNDEL,"1,243.60","8,816.95"
21020,MARYLAND,BALTIMORE,"1,257.13","8,816.95"
21030,MARYLAND,BALTIMORE CITY,"1,371.49","8,816.95"
21040,MARYLAND,CALVERT,"1,115.83","8,816.95"
21050,MARYLAND,CAROLINE,"1,206.48","8,816.95"
21060,MARYLAND,CARROLL,"1,236.93","8,816.95"
21070,MARYLAND,CECIL,"1,189.70","8,816.95"
21080,MARYLAND,CHARLES,"1,289.10","8,816.95"
21090,MARYLAND,DORCHESTER,"1,269.07","8,816.95"
21100,MARYLAND,FREDERICK,"1,161.02","8,816.95"
21110,MARYLAND,GARRETT,"1,005.58","8,816.95"
21120,MARYLAND,HARFORD,"1,257.46","8,816.95"
21130,MARYLAND,HOWARD,"1,151.91","8,816.95"
21140,MARYLAND,KENT,"1,283.36","8,816.95"
21150,MARYLAND,MONTGOMERY,"1,089.65","8,816.95"
21160,MARYLAND,PRINCE GEORGE'S,"1,311.10","8,816.95"
21170,MARYLAND,QUEEN ANNE'S,"1,213.83","8,816.95"
21180,MARYLAND,ST. MARY'S,"1,174.81","8,816.95"
21190,MARYLAND,SOMERSET,"1,186.22","8,816.95"
21200,MARYLAND,TALBOT,"1,262.29","8,816.95"
21210,MARYLAND,WASHINGTON,"1,089.65","8,816.95"
21220,MARYLAND,WICOMICO,"1,162.02","8,816.95"
21230,MARYLAND,WORCESTER,"1,226.73","8,816.95"
22000,MASSACHUSETTS,BARNSTABLE,"1,148.83","9,345.83"
22010,MASSACHUSETTS,BERKSHIRE,"1,082.92","9,345.83"
22020,MASSACHUSETTS,BRISTOL,"1,089.65","9,345.83"
22030,MASSACHUSETTS,DUKES,"1,473.66","9,345.83"
22040,MASSACHUSETTS,ESSEX,"1,154.85","9,345.83"
22060,MASSACHUSETTS,FRANKLIN,"1,173.03","9,345.83"
22070,MASSACHUSETTS,HAMPDEN,"1,089.65","9,345.83"
22080,MASSACHUSETTS,HAMPSHIRE,"1,089.65","9,345.83"
22090,MASSACHUSETTS,MIDDLESEX,"1,215.72","9,345.83"
22120,MASSACHUSETTS,NANTUCKET,"1,286.87","9,345.83"
22130,MASSACHUSETTS,NORFOLK,"1,230.26","9,345.83"
22150,MASSACHUSETTS,PLYMOUTH,"1,203.28","9,345.83"
22160,MASSACHUSETTS,SUFFOLK,"1,305.40","9,345.83"
22170,MASSACHUSETTS,WORCESTER,"1,102.31","9,345.83"
23000,MICHIGAN,ALCONA,985.93,"7,973.68"
23010,MICHIGAN,ALGER,"1,073.44","7,973.68"
23020,MICHIGAN,ALLEGAN,"1,089.65","7,973.68"
23030,MICHIGAN,ALPENA,905.97,"7,973.68"
23040,MICHIGAN,ANTRIM,978.38,"7,973.68"
23050,MICHIGAN,ARENAC,990.13,"7,973.68"
23060,MICHIGAN,BARAGA,"1,170.69","7,973.68"
23070,MICHIGAN,BARRY,"1,089.65","7,973.68"
23080,MICHIGAN,BAY,"1,089.65","7,973.68"
23090,MICHIGAN,BENZIE,985.93,"7,973.68"
23100,MICHIGAN,BERRIEN,985.93,"7,973.68"
23110,MICHIGAN,BRANCH,"1,059.30","7,973.68"
23120,MICHIGAN,CALHOUN,"1,089.65","7,973.68"
23130,MICHIGAN,CASS,"1,089.65","7,973.68"
23140,MICHIGAN,CHARLEVOIX,959.76,"7,973.68"
23150,MICHIGAN,CHEBOYGAN,985.93,"7,973.68"
23160,MICHIGAN,CHIPPEWA,998.08,"7,973.68"
23170,MICHIGAN,CLARE,940.11,"7,973.68"
23180,MICHIGAN,CLINTON,"1,089.65","7,973.68"
23190,MICHIGAN,CRAWFORD,"1,019.06","7,973.68"
23200,MICHIGAN,DELTA,985.93,"7,973.68"
23210,MICHIGAN,DICKINSON,985.93,"7,973.68"
23220,MICHIGAN,EATON,"1,089.65","7,973.68"
23230,MICHIGAN,EMMET,985.93,"7,973.68"
23240,MICHIGAN,GENESEE,"1,085.33","7,973.68"
23250,MICHIGAN,GLADWIN,"1,026.04","7,973.68"
23260,MICHIGAN,GOGEBIC,985.93,"7,973.68"
23270,MICHIGAN,GRAND TRAVERSE,985.93,"7,973.68"
23280,MICHIGAN,GRATIOT,"1,247.23","7,973.68"
23290,MICHIGAN,HILLSDALE,932.07,"7,973.68"
23300,MICHIGAN,HOUGHTON,985.93,"7,973.68"
23310,MICHIGAN,HURON,"1,077.07","7,973.68"
23320,MICHIGAN,INGHAM,"1,089.65","7,973.68"
23330,MICHIGAN,IONIA,"1,089.65","7,973.68"
23340,MICHIGAN,IOSCO,938.68,"7,973.68"
23350,MICHIGAN,IRON,"1,137.32","7,973.68"
23360,MICHIGAN,ISABELLA,892.35,"7,973.68"
23370,MICHIGAN,JACKSON,971.23,"7,973.68"
23380,MICHIGAN,KALAMAZOO,"1,089.65","7,973.68"
23390,MICHIGAN,KALKASKA,985.93,"7,973.68"
23400,MICHIGAN,KENT,"1,089.65","7,973.68"
23410,MICHIGAN,KEWEENAW,"1,126.95","7,973.68"
23420,MICHIGAN,LAKE,985.93,"7,973.68"
23430,MICHIGAN,LAPEER,"1,089.65","7,973.68"
23440,MICHIGAN,LEELANAU,985.93,"7,973.68"
23450,MICHIGAN,LENAWEE,"1,089.65","7,973.68"
23460,MICHIGAN,LIVINGSTON,"1,089.65","7,973.68"
23470,MICHIGAN,LUCE,"1,153.69","7,973.68"
23480,MICHIGAN,MACKINAC,"1,091.38","7,973.68"
23490,MICHIGAN,MACOMB,"1,064.97","7,973.68"
23500,MICHIGAN,MANISTEE,941.50,"7,973.68"
23510,MICHIGAN,MARQUETTE,"1,042.42","7,973.68"
23520,MICHIGAN,MASON,985.93,"7,973.68"
23530,MICHIGAN,MECOSTA,985.93,"7,973.68"
23540,MICHIGAN,MENOMINEE,985.93,"7,973.68"
23550,MICHIGAN,MIDLAND,"1,089.65","7,973.68"
23560,MICHIGAN,MISSAUKEE,985.93,"7,973.68"
23570,MICHIGAN,MONROE,"1,089.65","7,973.68"
23580,MICHIGAN,MONTCALM,"1,006.76","7,973.68"
23590,MICHIGAN,MONTMORENCY,"1,018.81","7,973.68"
23600,MICHIGAN,MUSKEGON,"1,089.65","7,973.68"
23610,MICHIGAN,NEWAYGO,"1,089.65","7,973.68"
23620,MICHIGAN,OAKLAND,"1,101.99","7,973.68"
23630,MICHIGAN,OCEANA,985.93,"7,973.68"
23640,MICHIGAN,OGEMAW,960.06,"7,973.68"
23650,MICHIGAN,ONTONAGON,"1,047.12","7,973.68"
23660,MICHIGAN,OSCEOLA,985.93,"7,973.68"
23670,MICHIGAN,OSCODA,985.67,"7,973.68"
23680,MICHIGAN,OTSEGO,952.91,"7,973.68"
23690,MICHIGAN,OTTAWA,"1,089.65","7,973.68"
23700,MICHIGAN,PRESQUE ISLE,985.93,"7,973.68"
23710,MICHIGAN,ROSCOMMON,998.32,"7,973.68"
23720,MICHIGAN,SAGINAW,"1,089.65","7,973.68"
23730,MICHIGAN,ST. CLAIR,"1,089.65","7,973.68"
23740,MICHIGAN,ST. JOSEPH,956.59,"7,973.68"
23750,MICHIGAN,SANILAC,972.55,"7,973.68"
23760,MICHIGAN,SCHOOLCRAFT,"1,088.67","7,973.68"
23770,MICHIGAN,SHIAWASSEE,957.29,"7,973.68"
23780,MICHIGAN,TUSCOLA,996.71,"7,973.68"
23790,MICHIGAN,VAN BUREN,"1,089.65","7,973.68"
23800,MICHIGAN,WASHTENAW,"1,089.65","7,973.68"
23810,MICHIGAN,WAYNE,"1,130.06","7,973.68"
23830,MICHIGAN,WEXFORD,985.93,"7,973.68"
24000,MINNESOTA,AITKIN,"1,174.91","8,015.05"
24010,MINNESOTA,ANOKA,"1,000.44","8,015.05"
24020,MINNESOTA,BECKER,"1,006.61","8,015.05"
24030,MINNESOTA,BELTRAMI,985.93,"8,015.05"
24040,MINNESOTA,BENTON,"1,044.19","8,015.05"
24050,MINNESOTA,BIG STONE,"1,330.92","8,015.05"
24060,MINNESOTA,BLUE EARTH,985.93,"8,015.05"
24070,MINNESOTA,BROWN,997.13,"8,015.05"
24080,MINNESOTA,CARLTON,"1,089.65","8,015.05"
24090,MINNESOTA,CARVER,"1,033.94","8,015.05"
24100,MINNESOTA,CASS,"1,009.89","8,015.05"
24110,MINNESOTA,CHIPPEWA,"1,235.41","8,015.05"
24120,MINNESOTA,CHISAGO,"1,020.51","8,015.05"
24130,MINNESOTA,CLAY,985.93,"8,015.05"
24140,MINNESOTA,CLEARWATER,"1,069.47","8,015.05"
24150,MINNESOTA,COOK,"1,133.38","8,015.05"
24160,MINNESOTA,COTTONWOOD,"1,090.22","8,015.05"
24170,MINNESOTA,CROW WING,"1,014.86","8,015.05"
24180,MINNESOTA,DAKOTA,"1,089.65","8,015.05"
24190,MINNESOTA,DODGE,"1,014.79","8,015.05"
24200,MINNESOTA,DOUGLAS,"1,015.40","8,015.05"
24210,MINNESOTA,FARIBAULT,"1,090.20","8,015.05"
24220,MINNESOTA,FILLMORE,985.93,"8,015.05"
24230,MINNESOTA,FREEBORN,985.93,"8,015.05"
24240,MINNESOTA,GOODHUE,994.37,"8,015.05"
24250,MINNESOTA,GRANT,"1,168.95","8,015.05"
24260,MINNESOTA,HENNEPIN,992.46,"8,015.05"
24270,MINNESOTA,HOUSTON,985.93,"8,015.05"
24280,MINNESOTA,HUBBARD,982.41,"8,015.05"
24290,MINNESOTA,ISANTI,973.01,"8,015.05"
24300,MINNESOTA,ITASCA,985.93,"8,015.05"
24310,MINNESOTA,JACKSON,993.64,"8,015.05"
24320,MINNESOTA,KANABEC,"1,028.93","8,015.05"
24330,MINNESOTA,KANDIYOHI,985.93,"8,015.05"
24340,MINNESOTA,KITTSON,"1,121.97","8,015.05"
24350,MINNESOTA,KOOCHICHING,"1,059.49","8,015.05"
24360,MINNESOTA,LAC QUI PARLE,"1,272.66","8,015.05"
24370,MINNESOTA,LAKE,"1,013.19","8,015.05"
24380,MINNESOTA,LAKE OF THE WOODS,"1,300.38","8,015.05"
24390,MINNESOTA,LE SUEUR,"1,038.56","8,015.05"
24400,MINNESOTA,LINCOLN,"1,173.55","8,015.05"
24410,MINNESOTA,LYON,999.78,"8,015.05"
24420,MINNESOTA,MCLEOD,970.10,"8,015.05"
24430,MINNESOTA,MAHNOMEN,"1,101.55","8,015.05"
24440,MINNESOTA,MARSHALL,"1,228.29","8,015.05"
24450,MINNESOTA,MARTIN,954.36,"8,015.05"
24460,MINNESOTA,MEEKER,"1,017.86","8,015.05"
24470,MINNESOTA,MILLE LACS,975.63,"8,015.05"
24480,MINNESOTA,MORRISON,"1,018.45","8,015.05"
24490,MINNESOTA,MOWER,985.93,"8,015.05"
24500,MINNESOTA,MURRAY,"1,306.08","8,015.05"
24510,MINNESOTA,NICOLLET,985.93,"8,015.05"
24520,MINNESOTA,NOBLES,985.93,"8,015.05"
24530,MINNESOTA,NORMAN,"1,067.28","8,015.05"
24540,MINNESOTA,OLMSTED,949.99,"8,015.05"
24550,MINNESOTA,OTTER TAIL,"1,018.12","8,015.05"
24560,MINNESOTA,PENNINGTON,985.93,"8,015.05"
24570,MINNESOTA,PINE,"1,078.20","8,015.05"
24580,MINNESOTA,PIPESTONE,"1,045.55","8,015.05"
24590,MINNESOTA,POLK,"1,011.17","8,015.05"
24600,MINNESOTA,POPE,"1,202.69","8,015.05"
24610,MINNESOTA,RAMSEY,"1,089.65","8,015.05"
24620,MINNESOTA,RED LAKE,"1,076.37","8,015.05"
24630,MINNESOTA,REDWOOD,"1,135.89","8,015.05"
24640,MINNESOTA,RENVILLE,"1,151.80","8,015.05"
24650,MINNESOTA,RICE,985.93,"8,015.05"
24660,MINNESOTA,ROCK,"1,038.16","8,015.05"
24670,MINNESOTA,ROSEAU,"1,112.38","8,015.05"
24680,MINNESOTA,ST. LOUIS,"1,089.65","8,015.05"
24690,MINNESOTA,SCOTT,"1,089.65","8,015.05"
24700,MINNESOTA,SHERBURNE,"1,089.65","8,015.05"
24710,MINNESOTA,SIBLEY,"1,072.48","8,015.05"
24720,MINNESOTA,STEARNS,985.93,"8,015.05"
24730,MINNESOTA,STEELE,985.93,"8,015.05"
24740,MINNESOTA,STEVENS,"1,331.31","8,015.05"
24750,MINNESOTA,SWIFT,"1,164.55","8,015.05"
24760,MINNESOTA,TODD,"1,181.82","8,015.05"
24770,MINNESOTA,TRAVERSE,"1,172.08","8,015.05"
24780,MINNESOTA,WABASHA,"1,052.83","8,015.05"
24790,MINNESOTA,WADENA,"1,177.57","8,015.05"
24800,MINNESOTA,WASECA,935.48,"8,015.05"
24810,MINNESOTA,WASHINGTON,"1,089.65","8,015.05"
24820,MINNESOTA,WATONWAN,"1,085.43","8,015.05"
24830,MINNESOTA,WILKIN,956.83,"8,015.05"
24840,MINNESOTA,WINONA,985.93,"8,015.05"
24850,MINNESOTA,WRIGHT,"1,089.65","8,015.05"
24860,MINNESOTA,YELLOW MEDICINE,"1,215.85","8,015.05"
25000,MISSISSIPPI,ADAMS,"1,147.31","7,083.61"
25010,MISSISSIPPI,ALCORN,918.61,"7,083.61"
25020,MISSISSIPPI,AMITE,"1,182.83","7,083.61"
25030,MISSISSIPPI,ATTALA,"1,084.12","7,083.61"
25040,MISSISSIPPI,BENTON,"1,086.81","7,083.61"
25050,MISSISSIPPI,BOLIVAR,"1,136.03","7,083.61"
25060,MISSISSIPPI,CALHOUN,997.60,"7,083.61"
25070,MISSISSIPPI,CARROLL,"1,137.48","7,083.61"
25080,MISSISSIPPI,CHICKASAW,"1,033.72","7,083.61"
25090,MISSISSIPPI,CHOCTAW,"1,169.14","7,083.61"
25100,MISSISSIPPI,CLAIBORNE,"1,361.39","7,083.61"
25110,MISSISSIPPI,CLARKE,"1,187.98","7,083.61"
25120,MISSISSIPPI,CLAY,"1,036.98","7,083.61"
25130,MISSISSIPPI,COAHOMA,"1,229.01","7,083.61"
25140,MISSISSIPPI,COPIAH,"1,089.65","7,083.61"
25150,MISSISSIPPI,COVINGTON,"1,140.36","7,083.61"
25160,MISSISSIPPI,DESOTO,"1,089.65","7,083.61"
25170,MISSISSIPPI,FORREST,"1,076.71","7,083.61"
25180,MISSISSIPPI,FRANKLIN,"1,218.72","7,083.61"
25190,MISSISSIPPI,GEORGE,"1,206.39","7,083.61"
25200,MISSISSIPPI,GREENE,"1,133.42","7,083.61"
25210,MISSISSIPPI,GRENADA,"1,321.35","7,083.61"
25220,MISSISSIPPI,HANCOCK,"1,268.25","7,083.61"
25230,MISSISSIPPI,HARRISON,"1,158.87","7,083.61"
25240,MISSISSIPPI,HINDS,"1,089.65","7,083.61"
25250,MISSISSIPPI,HOLMES,"1,171.72","7,083.61"
25260,MISSISSIPPI,HUMPHREYS,"1,167.18","7,083.61"
